Persona,Lv.,Arcana,Types,Drain,Reflect,Null,Resist,Evade 1,Evade 2,Evade 3,Weak,Type,Stat Bonuses,Natural Skill,Active Abilities,Passive Abilities,Disposition,Reward,STR,MAG,TEC,AGI,VIT,LCK,Pg.,Compendium?
David,3,Death,"Physical, PSY, Status",Dark,,,Gun,,,,Fire,Tyrant,+4 Courage,"Terrifier – Whenever you cast a Status Type spell, all Shadows adjacent to you have a 5TEC% chance to suffer Panicked. ","The Blood Curdler: The demonic fiddler plays a haunting melody. All Users suffer -1 TEC, -1 AGI for 3 rounds. This is a Debuff effect. 
Ceaseless Rhythm: David's aggressive thrumming seems to invigorate his minions. Other Shadows in combat gain +1 STR, +1 MAG for 3 rounds. This is a Buff effect. 
Right Behind You: One User David can see. When casting this spell, David is moved to a position adjacent to the target. On hit: 6d6 (21) Physical damage and the User cannot move from its position until the end of its next turn. 
Slasher: Up to three targets within 5 meters. On hit: (15) PSY damage. If any of the targets are Poisoned, they lose 25% of their max HP after damage calculation and lose the Poisoned Status. ","Rise From Your Grave (P): When combat starts, for each User, David summons one Shadow: Zombie Priest, Will O' Wisp, Mou-Ryo and Army Zombie. David will only summon repeat Shadows if there are more than four Users in combat.",,,6,1,5,2,4,4,TToH-4,FALSE
Enslaved Mirage,3,--,,,,,,,,,,Minion,,,"Rush: One target within 6 meters. On hit: The Enslaved Mirage becomes adjacent to the target, and deals 4d6 (14) Physical damage. 
Skewer: Up to 3 targets within 5 meters. On hit: 4d4-2 (8) Fire damage. ","Dark Shackles (P): Defeating this Shadow confers no Experience. If negotiation is started with an Enslaved Mirage, the User must pass a Difficulty 3 check of their prefered Social Skill. If they pass this Check, the Enslaved Mirage will attack Aversa, dealing 50 Almighty damage (no dodge check) immediately, and disappear. An Enslaved Mirage freed this way will not be summoned back into the fight by the effect of Shadow Gift. ",,,4,1,5,4,4,2,SSIII-25,FALSE
High Pixie,3,Fool,"Heal, Status",,,,"Thunder, Wind",,,,"Gun, Intel",Shadow,+1 MAG,"Faeric Commander – Once per day, you can grant +1 AGI to your ally with the lowest initiative, until the end of your next turn. This is not a Buff effect, and activating this Skill is considered a Quick action.","Dia: 1 target within 8 meters. Heals 5d4+5 (17) of target’s max HP.
Tentarafoo: Any number of targets within 6 meters. Panicked chance: 35%",,Snobbish,Soma (T1 Heal),1,5,5,5,2,4,C-178,FALSE
Fuu-Ki,3,Star,"Wind, Buff",Wind,,Nuclear,,,,,Thunder,Shadow,+1 TEC,"Whirlwind Oni – As your Interrupt action, or once per Scene out of combat, you can move an adjacent target up to TEC meters away in any direction. This effect cancels similar effects caused by Movement spells.",Vacuum Wave: Any number of targets between Fuu-Ki and a point within 4 meters. HDC +1. On hit: MAGd4 (10/15) Wind damage.,"Auto-Tarukajamon (P): Fuu-Ki gains +2 STR, +2 MAG for the first 3 rounds of combat.",Aggressive,Rakukaja (T1 Buff) ,1,4,5,4,4,4,C-176,FALSE
Angel,3,Justice,"Light, Heal, Debuff",,,Light,,,,,Dark,Shadow,+4 Knowledge,"Divine Comfort – Once per combat, when your HP drops under 50%, you gain Resist Dark until the end of the next round.","Hama: One target loses 30% of its current HP, Light damage.
Ha Dia: Caster and all allies recover 4d8+6 (24) HP
Ha Tarunda: Up to 2 targets Angel can see suffer -1 STR, -1 MAG for 3 turns.",,Noble,Ha Tarunda (T1 Debuff),1,4,5,4,4,2,C-179,FALSE
Jack Frost,3,Magician,"Ice, Heal",,,Ice,,,,,Fire,Shadow,+1 MAG,Winter Bre-hee-ze – You can freeze liquids you can touch in the Metaverse. The resulting ice is resistant enough to be used as a platform or a supporting pillar.,"Buf-hoo: 1 target within 10 meters takes 6d6 (21) Ice damage on hit.
Dia: 1 target Jack Frost can see recovers 6d4 (15) HP.",Ice Boost (P): Ice spells Jack Frost casts deal 25% more damage.,"Friendly, Childish",Mabufu (T1 Ice),1,6,6,3,3,2,C-179,FALSE
"Hungering Pyre, Moloch",3,Hanged Man,"Physical, Fire, Wind",,Dark,,,,,,"Nuclear, Light",Tyrant,+1 STR,"Feed the Flames – If all Users in combat are currently under the Aflame Condition, remove this Condition from all Users, then Moloch heals 50% of its maximum HP. ","Charred Carriage: All units in Rails I, II or III. HDC +1. On hit: X*STR Fire damage, where X is the number of Users under the effect of Aflame. After casting this spell, all Aflame Users take 4d4 (10) Fire damage and are moved to the far edge of the arena. 
Wreckage Throw: One unit Moloch can see. On hit: 4d4 (10) Physical damage and 10+5TEC% (40%) Stunned chance. 
Summon the Horde: Up to two adjacent targets. On hit: 4d4 (10) Wind damage. This spell deals 1 extra Wind damage for each meter of distance between Moloch and each target, calculated individually. ","Altar of Sacrifice (P): Moloch starts combat first in the initiative queue. Moloch cannot be moved from its position on the map by any means. 
Aflame (P): Aflame is a Condition applied by Moloch. It applies a -1 TEC, -1 AGI penalty that stacks with other Debuff effects. Aflame is removed when the User enters Death’s Door or Charred Carriage is cast.  ",,,4,4,6,1,9,2,SSVI-30,FALSE
Ippon-Datara,3,Hermit,"Physical, Fire, Status",,,,,,,,,Shadow,,"Hermit Blacksmith – Every time Ippon-Datara's HP is reduced to 0, it's revived with 100% HP at the end of its next turn. Escaping from combat against this Shadow is an automatic success. ","Crush Underfoot: One target within 3 meters. HDC +1. On hit: 5d4 (12) Physical damage. 
Light Up the Forge: One target within 3 meters. HDC +1. On hit: 3d4+3 (10) Fire damage 
Echoing Roar: All units in combat except Guardian of Kisaragi, Ippon-Datara. 20+5TEC (40%) Panicked chance. ",Mountain Wanderer (P): Ippon-Datara's movement allowance is treated as 4*AGI (12) ,,,5,3,4,3,6,2,SSVI-27,FALSE
Mishaguji,3,Aeon,"PSY, Dark, Thunder",,,,Dark,,,,Ice,Shadow,+1 TEC,Camouflage – You take 10% less damage from the first attack declared against you in combat. This is applied last in damage calculation.,"Nerve Pinch: 1 target within 5 meters. On hit: 5d6 (17) Thunder damage and 30% Shocked chance.
Psy: 1 target within 8 meters. Hit: 5d4+6 (18) PSY damage. If the target is suffering Shocked, target suffers Knocked Down.
Consume (Dark): 1 Knocked Down target adjacent to Mishaguji whose HP is below 100% is immediately put in Death’s Door.",,"Flirty, Insane",Hapsi (T1 PSY),1,5,5,2,6,2,C-181,FALSE
Mokoi,3,Death,"Physical, Status, Buff",,,,Thunder,,,,Wind,Shadow,+1 VIT,Hatred of Evil – Grants Resist Dark and Critical Margin +1 against targets with the Dark Type. ,"Pain Eater: Mokoi can transfer damage from an attack to any other target to itself, gaining Fortify (attacker’s SKL) for 3 turns after damage calculation.
Crazy Chain: Any number of targets within 6 meters. On hit: 5d4 (10) Physical damage and 10% Enraged chance.
Enrage: 1 target within 8 meters. 45% Enraged chance.",,"Insane, Childish",Gale Slash (T1 Physical),5,1,2,2,7,4,C-176,FALSE
Mou-Ryo,3,Death,,,,,Fire,,,,,Minion,,,Dawn of the Dead: All Shadows in combat except Mou-Ryo recover up to 20% of their maximum HP ,"Halloween Lives (P): As long as Mou-Ryo is in combat, all Status effects have a 15% higher chance to be applied. ",,,1,1,5,6,3,2,TToH-5,FALSE
Oberon,3,Emperor,"Physical, Thunder",,,Intel,Thunder,,,,Status,Shadow,+4 Charm,King of Moonlight – Consider your Charm Tier as +1 during Evening and Night blocks.,"Mind Slice: 1 target within 2 meters. On hit: 4d6 (14) Physical damage, 20% Panic chance.
Thunder Tango: Up to 1d6 targets within 9 meters. On hit: 4d4 (10) Thunder damage and 12% Shocked chance.",,Flirty,Holy Arrow (T1 Physical),4,4,5,3,3,4,C-177,FALSE
"Older Sibling, Mermaid- α",3,Empress,"Fire, Intel",,,Wind,,,,,"Physical, Status",Alpha,+4 Charm,"Uplifting Choir – Once per combat, when you target one ally with an Intel Type spell, you can add the following effect to the spell: Reduce the duration of Debuff effects on the target by 1 round. ","Shipwright's Song: Up to 1d4 targets within 10 meters. On hit: SKLd4(10) Fire damage and applies one Anchor Counter to the target. 
Infinite Vortex: One target Oldest Sister, Mermaid-α can see. On hit: SKLd6 (14), and this Shadow can remove any number of Anchor Counters from combat: This attack has a X*10% chance to cause Panicked, where X is the amount of Anchor Counters removed by this spell. ",,Friendly,Ha Agi (T1 Fire),4,4,4,4,4,2,SSIV-10,FALSE
Onmoraki,3,Moon,"Fire, Dark",,,Dark,,,,,Fire,Shadow,+1 TEC,"Degenerating Sutra – Once per combat, when a target casts an Intel spell, you can negate all its effects as an Interrupt action.","Ha Agilao: Onmoraki spews fireballs that hit up to 2 targets within 8 meters, dealing 4d4 (10) Fire damage on hit.
Mudoon: Instantly kills one target Onmoraki can see whose HP is under 40% of its maximum.",Resist Fear (P): All effects that can cause the Fear Status effect have their triggering chance halved.,Friendly,Eiha (T1 Dark),1,4,4,4,4,4,C-180,FALSE
Purple Mirror,3,Tower,"Intel, Status",,,,"Status, Intel",,,,Physical,Rumor,+1 TEC,"Forget-Me-Never – Once per day, you can add up to five of your Combat Skills (this takes into consideration Buff and Debuff effects): If the result is exactly 20, you can choose to gain +1 HDC or +1 DDC for three rounds, which stacks with other Buff effects. This is considered a Quick action. ","Entrance: One target within 5 meters. 10+5TEC% (50%) Charmed chance. 
Curse: Purple Mirror places 1 Curse Counter on one User it can see. All Curse Counters are removed when Purple Mirror is defeated. ","Mirror Sheen (P): At the start of each round, Purple Mirror loses all its ""Reflect"" interactions and gains Reflect to one Type (Narrator's choice). This is visually distinct and Type changes can be identified by any User with Tier I Knowledge. 
Enduring Memory (P): Every time Purple Mirror takes damage, each target with a Curse Counter takes 1d4 Intel Type damage, no check. ",Anthropophagous,Simulation (T1 Intel),1,3,8,6,1,2,SSII-9,FALSE
Slime,3,Chariot,"Physical, Dark",,,,Physical,,,,"Wind, Nuclear",Shadow,+1 VIT,Insatiable – You can eat staggering amounts of food without gaining much weight and will only be sick if the food is rotten or poisoned.,"Corrode: 1 adjacent target. On hit: 4d6+2 (16) Physical damage. If this attack drops a target to under 1 HP, they enter Death’s Door with 1 counter and their body is significantly damaged.","Blindsight (P): Slime can see normally in all circumstances.
Survive Dark (P): This Shadow cannot be killed by Death effects and is reduced to 1 HP instead.","Childish, Chaotic",Resist Physical (T1 Defense),4,1,4,4,6,2,C-178,FALSE
Suzaku,3,Sun,"Fire, Thunder",,,,Intel,,,,Ice,Shadow,+1 AGI,"Summer Flames – As long as this is your Active Persona, you gain +X Charm, where X is the price of your equipped armor divided by 2. Consider Special Armor as 10RP for the effects of this Skill.","Agi: 1 target within 8 meters. On hit: 4d8 (16) Fire damage.
Mazio: Any number of targets within 6 meters. On hit: 4d4 (8) Thunder damage and 16% Shocked chance",,"Noble, Chaotic",Zio (T1 Thunder),1,4,5,3,6,2,C-175,FALSE
Will O' Wisp,3,Death,,,,,Nuclear,,,,,Minion,,,Hellraiser: One target within 6 meters. On hit: 5d4 (12) Fire damage and 30% Slowed chance.  ,"Paranormal Activities (P): As long as Will O' Wisp is in combat, Analysis spells grant Users incorrect information decided by the Narrator. ",,,1,5,3,6,1,2,TToH-5,FALSE
Yaksini,3,Empress,"Physical, Status",,,,"Ice, Nuclear",,,,Status,Shadow,+4 Courage,"Fertile Cannibal – Once per day, apply a -1 Tier penalty to an ally’s Charm score to raise your own by 1, both until the end of the Scene.",Confunda: 1 target within 8 meters. 15+5TEC% (45%) Stunned chance.,"Sword II (P): Choose a Sword that costs up to 2 RP and equip it to Yaksini. This replaces Yaksini’s basic attack and is granted to the Users when Yaksini is defeated.
Counterattack (P): 30% chance to retaliate against a basic attack or Physical spell with her basic attack.","Aggressive, Noble","Confunda (T1 Status)",5,1,6,3,3,2,C-177,FALSE
Zombie Priest,3,Death,,,,,Status,,,,,Minion,,,The Exorcist: One target Zombie Priest can see loses 30% of its HP as Light damage. ,"Saw (P): As long as Zombie Priest is in combat, all spells declared in combat ignore effects that Null or Reflect damage. ",,,1,3,5,1,6,2,TToH-5,FALSE
Arcana Priestess,4,Priestess,"Physical, Ice, Status",,Ice,,,,,,,Tyrant,,"Arcana of Indecisiveness – Arcana Priestess may declare a Muttering Tiara as a target for its spells. If damage caused by Arcana Priestess slays a Muttering Tiara, Arcana Priestess gains a second turn this round. This effect can only activate once per round. ","Assault Dive: One target within 6 meters. On hit: 4d6+STR (18) Physical damage. 
Ha Bufu: Up to three targets Arcana Priestess can see. On hit: 4d4 (10) Ice damage. 
Pulinpa: One target within 8 meters. 35+5TEC% (60%) Panicked chance. 
Marin Karin: One target within 5 meters. 20+5TEC% (45%) Charmed chance. ",,,,4,4,5,5,5,4,SSVI-42,FALSE
Aspect of Embers – Surt,4,Tower,"Physical, Fire, Buff",,,Fire,Light,,,,Ice,Shadow,+1 STR,"Light of Muspelheim – In and out of the Metaverse, you can invoke this Natural Skill as an Aspect for the purposes of seeing in the dark or in inclement weather. ","Magna: 1 target within 6 meters. On hit: 6d6 (21) Fire damage. If the target took damage from Magna during the previous round, this attack gains +1 HDC. 
Call to Ragnarök: All units within 4 meters, except Aspect of Embers – Surt. On hit: 6d4-3 (12) Physical damage. ","Starfall (P): As long as Aspect of Embers – Surt remains in combat, every time a User takes damage from any source, they take an extra 1d4 Fire damage.  ","Noble, Aggressive",Magna (T1 Earth),6,1,4,2,6,2,SSIII-24,FALSE
B.S.R.S. Vulcan,4,--,,,,,"Fire, Intel",,,,Light,Human,,,"Schusslinie: All targets between B.S.R.S. Vulcan and one point within 5 meters. On hit: 8d4-5 (15) Gun damage. 
Armblätter: One target within 3 meters. HDC +1. On hit: 8d6 (28) Physical damage and B.S.R.S. Vulcan can move up to 1d6 spaces in any direction as a Free action. ","Shard of Longinus (P): Does not respond to negotiation. Every time a User takes damage from an attack declared by B.S.R.S. Vulcan, the User has a 40% chance to suffer the following Condition: You cannot cast spells or activate Class features until the end of your next turn. ",,,8,1,5,2,5,2,SSVI-35,FALSE
Cosmo Zombie,4,Star,"Thunder, PSY, Almighty",,,"PSY, Dark",,,,,"Fire, Light",Shadow,+4 Expression,"Malignity of the Stars – You can spend 2 Energy to grant an Almighty spell you cast Critical Margin +2, but that attack does not deal extra damage if a Critical Hit is scored ","Mazio: Any number of targets Cosmo Zombie can see. On hit: 5d4-3 (9) Thunder damage and 5TEC% (20%) Shocked chance. 
Paral Web: A circle a with 4 meters of radius centered on Cosmo Zombie that lasts for 3 rounds. Any User that enters this circle takes 5d6 (17) PSY damage and has a 20% chance to suffer Stunned (no check) 
Return to the Stars: One target within 8 meters. On hit: 5d4 (12) Almighty damage and Cosmo Zombie is moved to an adjacent position to the target, if possible. ",,Insane,Ha Psi (T1 PSY),1,5,4,5,5,2,SSII-14,FALSE
Element Horde,4,--,,,,,"Fire, Ice, Wind, Thunder",,,,"Physical, Nuclear, PSY, Status",Horde,,,"Singing Flame: One target within 6 meters. On hit: 6d6 (21) Fire damage and target suffers -1 STR, -1 MAG for 3 rounds. 
Crushing Ice: One target within 6 meters. On hit: 6d6 (21) Ice damage and target suffers -1 TEC, -1 AGI for 3 rounds. 
Sweeping Wind: One target within 6 meters. HDC +1. On hit: 6d6 (21) Wind damage. 
Exposing Thunder: One target within 6 meters. On hit: 6d6 (21) Thunder damage and target suffers Fortify All -4 for 3 rounds. ",,,,1,6,5,3,6,2,SSV-48,FALSE
